timestamp,order_ref,item_name,station_id,event_type
1776596403,a8bc3cf4,Custom Pizza,STN-2,make_start
1776596403,a8bc3cf4,Supreme,STN-2,make_start
1776596403,A8BC3CF4,custom pizza,STN-3,make_start
1776596488,a8bc3cf4,Custom Pizza,STN-?,make_complete
1776596540,A8BC3CF4,Supreme,STN-?,make_complete
1776596583,a8bc3cf4,Custom Pizza,STN-?,make_complete
1776596935,C98B55DF,Veggie,STN-2,make_start
1776596935,c98b55df,Sausage,STN-3,make_start
1776596935,c98b55df,Meat Lovers,STN-3,make_start
1776597070,c98b55df,Veggie,STN-?,make_complete
1776597070,c98b55df,meat lovers,STN-3,make_start
1776597098,C98B55DF,Sausage,STN-?,make_complete
1776597138,c98b55df,Meat Lovers,STN-?,make_complete
1776597178,c98b55df,Meat Lovers,STN-?,make_complete
1776597642,E6BFEC70,Custom Pizza,STN-3,make_start
1776597642,E6BFEC70,Sausage,STN-2,make_start
1776597642,E6BFEC70,Custom Pizza,STN-2,make_start
1776597789,ord_e6bfec70,Custom Pizza,STN-?,make_complete
1776597789,E6BFEC70,Meat Lovers,STN-1,make_start
1776597817,E6BFEC70,Sausage,STN-?,make_complete
1776597844,E6BFEC70,Custom Pizza,STN-?,make_complete
1776597885,e6bfec70,Meat Lovers,STN-?,make_complete
1776598009,ord_ecaa6c99,Veggie,STN-2,make_start
1776598009,ECAA6C99,Sausage,STN-2,make_start
1776598009,ECAA6C99,Meat Lovers,STN-2,make_start
1776598142,ecaa6c99,Veggie,STN-?,make_complete
1776598142,ord_ecaa6c99,Supreme,STN-1,make_start
1776598169,ord_ecaa6c99,Sausage,STN-?,make_complete
1776598169,ECAA6C99,Supreme,STN-1,make_start
1776598210,ord_ecaa6c99,Meat Lovers,STN-?,make_complete
1776598263,ECAA6C99,Supreme,STN-?,make_complete
1776598315,ecaa6c99,Supreme,STN-?,make_complete
1776598575,52B2D8E8,Supreme,STN-3,make_start
1776598575,52B2D8E8,veggie,STN-3,make_start
1776598575,ord_52b2d8e8,Cheese,STN-1,make_start
1776598680,613d1b39,supreme,STN-3,make_start
1776598732,ord_52b2d8e8,Supreme,STN-?,make_complete
1776598732,613D1B39,Veggie,STN-1,make_start
1776598766,52b2d8e8,Veggie,STN-?,make_complete
1776598766,613D1B39,Custom Pizza,STN-3,make_start
1776598782,52B2D8E8,Cheese,STN-?,make_complete
1776598782,ord_613d1b39,Custom Pizza,STN-4,make_start
1776598823,613D1B39,Supreme,STN-?,make_complete
1776598823,ord_613d1b39,Cheese,STN-1,make_start
1776598857,613D1B39,Veggie,STN-?,make_complete
1776598857,ord_613d1b39,Sausage,STN-2,make_start
1776598892,613D1B39,Custom Pizza,STN-?,make_complete
1776598892,e3e6c585,Custom Pizza,STN-3,make_start
1776598914,ord_613d1b39,Custom Pizza,STN-?,make_complete
1776598932,613d1b39,Cheese,STN-?,make_complete
1776598950,613D1B39,Sausage,STN-?,make_complete
1776598975,E3E6C585,Custom Pizza,STN-?,make_complete
1776599012,ED824183,Sausage,STN-3,make_start
1776599012,ed824183,Sausage,STN-2,make_start
1776599099,ED824183,Sausage,STN-?,make_complete
1776599118,ED824183,Sausage,STN-?,make_complete
1776599128,ord_469e76b6,Supreme,STN-1,make_start
1776599128,469E76B6,Cheese,STN-3,make_start
1776599246,c43f1a7d,Pepperoni,STN-3,make_start
1776599246,C43F1A7D,Sausage,STN-4,make_start
1776599286,469E76B6,Supreme,STN-?,make_complete
1776599286,C43F1A7D,Meat Lovers,STN-1,make_start
1776599302,469e76b6,Cheese,STN-?,make_complete
1776599323,ord_c43f1a7d,Pepperoni,STN-?,make_complete
1776599344,C43F1A7D,Sausage,STN-?,make_complete
1776599376,C43F1A7D,Meat Lovers,STN-?,make_complete
1776599471,ord_7ad77b42,Sausage,STN-3,make_start
1776599471,7AD77B42,Supreme,STN-4,make_start
1776599471,7AD77B42,Veggie,STN-3,make_start
1776599471,7AD77B42,Cheese,STN-2,make_start
1776599557,7ad77b42,Sausage,STN-?,make_complete
1776599557,7AD77B42,supreme,STN-3,make_start
1776599595,7ad77b42,Supreme,STN-?,make_complete
1776599595,7AD77B42,pepperoni,STN-4,make_start
1776599630,7AD77B42,Veggie,STN-?,make_complete
1776599630,1D6B77D7,Custom Pizza,STN-3,make_start
1776599645,7AD77B42,Cheese,STN-?,make_complete
1776599645,1d6b77d7,Cheese,STN-2,make_start
1776599685,7AD77B42,Supreme,STN-?,make_complete
1776599706,7ad77b42,Pepperoni,STN-?,make_complete
1776599731,1d6b77d7,Custom Pizza,STN-?,make_complete
1776599749,1D6B77D7,Cheese,STN-?,make_complete
1776599846,69E73F1C,Supreme,STN-3,make_start
1776599846,69e73f1c,Sausage,STN-3,make_start
1776599846,69E73F1C,Sausage,STN-1,make_start
1776599846,69E73F1C,custom pizza,STN-4,make_start
1776600004,69E73F1C,Supreme,STN-?,make_complete
1776600004,69e73f1c,pepperoni,STN-1,make_start
1776600024,69E73F1C,Sausage,STN-?,make_complete
1776600044,69E73F1C,Sausage,STN-?,make_complete
1776600044,0623EC77,Cheese,STN-3,make_start
1776600044,0623ec77,Pepperoni,STN-3,make_start
1776600084,69e73f1c,Custom Pizza,STN-?,make_complete
1776600084,ord_0623ec77,Pepperoni,STN-1,make_start
1776600105,69e73f1c,Pepperoni,STN-?,make_complete
1776600124,0623EC77,Cheese,STN-?,make_complete
1776600145,0623ec77,Pepperoni,STN-?,make_complete
1776600166,0623EC77,Pepperoni,STN-?,make_complete
1776600262,ord_235ed531,Supreme,STN-4,make_start
1776600419,ord_235ed531,Supreme,STN-?,make_complete
1776600463,ord_1143e7f2,Supreme,STN-2,make_start
1776600463,1143e7f2,Cheese,STN-3,make_start
1776600463,1143e7f2,veggie,STN-1,make_start
1776600463,1143E7F2,custom pizza,STN-3,make_start
1776600621,1143e7f2,Supreme,STN-?,make_complete
1776600621,1143E7F2,Custom Pizza,STN-3,make_start
1776600639,1143E7F2,Cheese,STN-?,make_complete
1776600639,1143E7F2,Pepperoni,STN-4,make_start
1776600671,1143E7F2,Veggie,STN-?,make_complete
1776600671,6a9343e6,Pepperoni,STN-3,make_start
1776600698,1143e7f2,Custom Pizza,STN-?,make_complete
1776600698,6a9343e6,cheese,STN-4,make_start
1776600729,1143E7F2,Custom Pizza,STN-?,make_complete
1776600729,6a9343e6,Sausage,STN-4,make_start
1776600751,1143E7F2,Pepperoni,STN-?,make_complete
1776600751,6a9343e6,Custom Pizza,STN-2,make_start
1776600772,ord_6a9343e6,Pepperoni,STN-?,make_complete
1776600772,6a9343e6,Custom Pizza,STN-4,make_start
1776600790,6a9343e6,Cheese,STN-?,make_complete
1776600790,64B111A9,Custom Pizza,STN-4,make_start
1776600811,6a9343e6,Sausage,STN-?,make_complete
1776600811,64B111A9,Supreme,STN-2,make_start
1776600839,6A9343E6,Custom Pizza,STN-?,make_complete
1776600839,ord_64b111a9,Custom Pizza,STN-1,make_start
1776600863,6a9343e6,Custom Pizza,STN-?,make_complete
1776600863,64b111a9,Supreme,STN-4,make_start
1776600901,64b111a9,Custom Pizza,STN-?,make_complete
1776600901,ord_64b111a9,Meat Lovers,STN-3,make_start
1776600941,64B111A9,Supreme,STN-?,make_complete
1776600941,64B111A9,Meat Lovers,STN-2,make_start
1776600966,64B111A9,Custom Pizza,STN-?,make_complete
1776600966,056555ca,Custom Pizza,STN-2,make_start
1776601004,ord_64b111a9,Supreme,STN-?,make_complete
1776601004,056555CA,Custom Pizza,STN-4,make_start
1776601034,64b111a9,Meat Lovers,STN-?,make_complete
1776601034,056555ca,Veggie,STN-3,make_start
1776601064,ord_64b111a9,Meat Lovers,STN-?,make_complete
1776601064,056555CA,Veggie,STN-1,make_start
1776601104,ord_056555ca,Custom Pizza,STN-?,make_complete
1776601104,ord_056555ca,Custom Pizza,STN-2,make_start
1776601144,056555ca,Custom Pizza,STN-?,make_complete
1776601144,707F9C84,Custom Pizza,STN-1,make_start
1776601175,ord_056555ca,Veggie,STN-?,make_complete
1776601175,707F9C84,Meat Lovers,STN-1,make_start
1776601209,056555ca,Veggie,STN-?,make_complete
1776601209,ord_707f9c84,Supreme,STN-2,make_start
1776601230,056555CA,Custom Pizza,STN-?,make_complete
1776601230,707F9C84,custom pizza,STN-4,make_start
1776601264,707f9c84,Custom Pizza,STN-?,make_complete
1776601264,707f9c84,cheese,STN-1,make_start
1776601293,707F9C84,Meat Lovers,STN-?,make_complete
1776601321,EF078970,Pepperoni,STN-2,make_start
1776601333,707F9C84,Supreme,STN-?,make_complete
1776601333,EF078970,Supreme,STN-3,make_start
1776601367,707F9C84,Custom Pizza,STN-?,make_complete
1776601367,EF078970,Sausage,STN-2,make_start
1776601386,707F9C84,Cheese,STN-?,make_complete
1776601386,EF078970,Sausage,STN-4,make_start
1776601408,EF078970,Pepperoni,STN-?,make_complete
1776601408,ord_ef078970,Custom Pizza,STN-2,make_start
1776601444,ef078970,Supreme,STN-?,make_complete
1776601444,ef078970,Custom Pizza,STN-1,make_start
1776601466,ef078970,Sausage,STN-?,make_complete
1776601466,0132A11D,Veggie,STN-3,make_start
1776601488,EF078970,Sausage,STN-?,make_complete
1776601488,0132a11d,Veggie,STN-4,make_start
1776601507,ord_ef078970,Custom Pizza,STN-?,make_complete
1776601507,ord_0132a11d,Custom Pizza,STN-4,make_start
1776601557,ord_0132a11d,Veggie,STN-?,make_complete
1776601591,0132a11d,Veggie,STN-?,make_complete
1776601615,0132a11d,Custom Pizza,STN-?,make_complete
1776601646,86882E4A,Meat Lovers,STN-3,make_start
1776601646,86882e4a,Cheese,STN-2,make_start
1776601646,ord_86882e4a,Pepperoni,STN-3,make_start
1776601646,86882E4A,Custom Pizza,STN-2,make_start
1776601767,86882e4a,Meat Lovers,STN-?,make_complete
1776601767,86882E4A,Veggie,STN-3,make_start
1776601786,86882E4A,Cheese,STN-?,make_complete
1776601807,86882E4A,Pepperoni,STN-?,make_complete
1776601827,86882e4a,Custom Pizza,STN-?,make_complete
1776601861,86882E4A,Veggie,STN-?,make_complete
1776601871,8ce22f2c,supreme,STN-2,make_start
1776601871,8CE22F2C,custom pizza,STN-3,make_start
1776601871,8ce22f2c,cheese,STN-2,make_start
1776601871,8CE22F2C,Custom Pizza,STN-4,make_start
1776602028,ord_8ce22f2c,Supreme,STN-?,make_complete
1776602028,8ce22f2c,Meat Lovers,STN-4,make_start
1776602062,8CE22F2C,Custom Pizza,STN-?,make_complete
1776602080,8CE22F2C,Cheese,STN-?,make_complete
1776602111,ord_b3b3623f,Sausage,STN-4,make_start
1776602111,B3B3623F,Meat Lovers,STN-4,make_start
1776602120,ord_8ce22f2c,Custom Pizza,STN-?,make_complete
1776602120,B3B3623F,Cheese,STN-3,make_start
1776602148,ord_8ce22f2c,Meat Lovers,STN-?,make_complete
1776602148,b3b3623f,Custom Pizza,STN-1,make_start
1776602172,B3B3623F,Sausage,STN-?,make_complete
1776602200,b3b3623f,Meat Lovers,STN-?,make_complete
1776602218,b3b3623f,Cheese,STN-?,make_complete
1776602227,bccd1110,Custom Pizza,STN-2,make_start
1776602227,bccd1110,Custom Pizza,STN-4,make_start
1776602227,ord_bccd1110,Custom Pizza,STN-4,make_start
1776602245,B3B3623F,Custom Pizza,STN-?,make_complete
1776602245,bccd1110,Cheese,STN-2,make_start
1776602274,BCCD1110,Custom Pizza,STN-?,make_complete
1776602301,BCCD1110,Custom Pizza,STN-?,make_complete
1776602329,ord_bccd1110,Custom Pizza,STN-?,make_complete
1776602347,BCCD1110,Cheese,STN-?,make_complete
1776602353,010ED568,Custom Pizza,STN-4,make_start
1776602353,ord_010ed568,Supreme,STN-4,make_start
1776602491,A1A19282,pepperoni,STN-3,make_start
1776602491,A1A19282,Custom Pizza,STN-3,make_start
1776602512,ord_010ed568,Custom Pizza,STN-?,make_complete
1776602512,a1a19282,custom pizza,STN-1,make_start
1776602550,010ed568,Supreme,STN-?,make_complete
1776602550,A1A19282,Custom Pizza,STN-4,make_start
1776602572,ord_a1a19282,Pepperoni,STN-?,make_complete
1776602572,A1A19282,Custom Pizza,STN-3,make_start
1776602596,a1a19282,Custom Pizza,STN-?,make_complete
1776602596,a1a19282,Custom Pizza,STN-1,make_start
1776602620,A1A19282,Custom Pizza,STN-?,make_complete
1776602658,ord_a1a19282,Custom Pizza,STN-?,make_complete
1776602680,1488a1e6,Meat Lovers,STN-3,make_start
1776602680,1488a1e6,Sausage,STN-4,make_start
1776602689,ord_a1a19282,Custom Pizza,STN-?,make_complete
1776602689,1488A1E6,Sausage,STN-4,make_start
1776602725,A1A19282,Custom Pizza,STN-?,make_complete
1776602725,ord_1488a1e6,custom pizza,STN-4,make_start
1776602756,1488A1E6,Meat Lovers,STN-?,make_complete
1776602756,1488A1E6,Custom Pizza,STN-2,make_start
1776602777,1488A1E6,Sausage,STN-?,make_complete
1776602777,ord_1488a1e6,Custom Pizza,STN-3,make_start
1776602799,1488a1e6,Sausage,STN-?,make_complete
1776602817,1488a1e6,Custom Pizza,STN-?,make_complete
1776602842,1488A1E6,Custom Pizza,STN-?,make_complete
